case_id,customer_message,conversation_context,reply,trivial_reply,retrieval_only_reply,retrieved_case_1,retrieved_case_2,retrieved_case_3,human_score,human_notes
64,@SpotifyCares All sorted now! But thanks for the response :),"[CUSTOMER] @SpotifyCares I believe someone has hacked into my Spotify account. When I log in via facebook there is an unknown email attached to my account and when I try and listen to Spotify it says a device I don't know if playing music. Please help.
[SPOTIFY] @653231 Hi Alexandra! The cavalry's here. Can you DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt
[CUSTOMER] @SpotifyCares All sorted now! But thanks for the response :)","Glad to hear everything’s sorted! If you need anything else, just let us know.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@306894 Hi Andrew! Glad to hear everything's sorted now. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /PL,9373,41117,41981,,
68,@SpotifyCares I deleted and reinstalled but that did not fix it,"[CUSTOMER] @SpotifyCares if I get a notification or accidentally open Siri while playing music, it will cut the music off and force me to close and reopen the app so I can listen to music again (don’t have premium so idk if changing songs help the problem)
[SPOTIFY] @679799 Hey there! What iOS and Spotify version are you using? Also, does it happen with any notification or a specific one? Keep us posted /BH
[CUSTOMER] @SpotifyCares Mostly Snapchat notifications, but I have noticed that if my phone is locked, it won’t tamper with the music, and I’m running latest IOS on iPhone 6s+ with the latest version of Spotify
[SPOTIFY] @679799 Alright! Let's try reinstalling Spotify following these steps: https://t.co/3FU57oyTNJ. Let us know how it goes /BH
[CUSTOMER] @SpotifyCares I deleted and reinstalled but that did not fix it","Hi! Thanks for letting us know. Could you share which iOS version and Spotify app version you’re running? Also, does the issue happen only when you receive a notification or does it occur with any notification? Once we have that info we can try a few more steps to get your music playing smoothly.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@556367 Hey there! We'd suggest using the latest official iOS version to make sure everything is working smoothly. Hope that clears things up /JE,23908,23192,1986,,
71,@SpotifyCares If you sort that I’ll finally be able to get rid of iTunes once and for all,"[CUSTOMER] @115888 Why isn't A Clockwork Orange's soundtrack in your libs? It's like the only that's missing now...oh that and more Will Oldham
[SPOTIFY] @694697 Hey Jack! Can you let us know what country your account is set to? We'll take a look backstage /RS
[CUSTOMER] @SpotifyCares If you sort that I’ll finally be able to get rid of iTunes once and for all",Hey there! We’re sorry you’re missing the A Clockwork Orange soundtrack. Could you let us know which country your account is set to? That’ll help us check availability and see what we can do to get it added for you.,Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@740364 Hi there! We hear you. We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69. Give us a shout if you have questions /XF",37454,519,17310,,
78,@SpotifyCares New update tomorrow ?,"[SPOTIFY] @325676 Just to clarify, What device are you using? We'll see what we can suggest /JX
[CUSTOMER] @SpotifyCares Windows 950xl phone.
[SPOTIFY] @325676 3: Thank you for your suggestions! We can’t make any promises but we've got it noted and we’ll pass your it onto the right folks /JX
[CUSTOMER] @SpotifyCares OK. Night.
[SPOTIFY] @325676 Thanks for letting us know. If you ever need anything else, just shout and we'll come running 🏃 /JX
[CUSTOMER] @SpotifyCares New update tomorrow ?","Hey! If you’re asking about a new app update, we’re rolling out changes gradually. You should see the latest version in the app store soon. Let us know if you don’t see it after a few days, and we’ll help you out!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@413410 Thanks. Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AK",15576,2615,20813,,
87,"@SpotifyCares Hi guys, thanks for the link. I already clean my cache regularly (~ every month), but I would love not to have to do that :) (thus, automatically cleaning old cached files). I'm on nexus, so I can't use a SD, sadly. Plus, app doesn't need that much data for real.","[CUSTOMER] @SpotifyCares we have to talk: you eat *way* more than necessary, on android. I get it that you have to cache files for better experience, but maybe you can delete them at some point? When I want offline music, I download it offline :)
[SPOTIFY] @624396 Hey there! We have some info about clearing your device's cache here: https://t.co/zEMYB82ZiG. Hope this helps /LW
[CUSTOMER] @SpotifyCares Hi guys, thanks for the link. I already clean my cache regularly (~ every month), but I would love not to have to do that :) (thus, automatically cleaning old cached files). I'm on nexus, so I can't use a SD, sadly. Plus, app doesn't need that much data for real.","Hey there! We don’t have an automatic cache‑cleaning feature built into the Android app yet. The best workaround is to clear the cache manually from Settings → Apps → Spotify → Storage, or use the “Clear cache” button in the app’s settings. If you’d like us to consider adding an auto‑clean option, feel free to let us know – we’re always looking for ways to improve the experience. Thanks for the feedback!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@783542 Hey there! Can you DM us your account's email address? We'll check backstage /MG https://t.co/ldFdZR1cbT,40052,12001,42835,,
96,"@SpotifyCares i have an iphone 7, ios11, and i have spotify premium","[SPOTIFY] @446898 Hey Audrey! Can you tell us more about what's happening exactly? We'll see what we can suggest /AR
[CUSTOMER] @SpotifyCares when my friends play the stranger things playlists, they get the easter egg to work and for some reason mine won’t work
[SPOTIFY] @446898 Thanks for letting us know. Can you send us the Spotify URIs of the album and track you're referring to? We'll check under the hood /AR
[CUSTOMER] @SpotifyCares https://t.co/UMZ1dHLpdE
[SPOTIFY] @446898 Thanks! Could you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR
[CUSTOMER] @SpotifyCares i have an iphone 7, ios11, and i have spotify premium","Hey! It sounds like the Stranger Things Easter Egg isn’t showing up on your device. That can happen on older iOS versions. Could you let me know which version of the Spotify app you’re running? Once I have that, I can walk you through a quick reset that usually gets the Easter Egg working again.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@805318 Thanks! Could you try restarting both your phone and internet connection? Does that make a difference? /JM,41421,38464,32472,,
97,@SpotifyCares hi i love u but there's no reply,"[CUSTOMER] @SpotifyCares HI HELP I SENT A DM I NEED TO REMOVE FOLLOWERS OR BLOCK THEM BUT HOW ON IPHONE
[CUSTOMER] @SpotifyCares @SpotifyCares HELLOOOOO HEELLPP
[SPOTIFY] @794910 Hey, we've just replied to your DMs. We'll carry on chatting there /SY
[CUSTOMER] @SpotifyCares hi i love u but there's no reply",Hey! We’ve just sent a message to your DM. Let’s keep the conversation there so we can help you quickly.,Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@196430 Hi! We've just sent a DM your way. Let's carry on chatting there /JN,9262,3703,35325,,
98,@SpotifyCares Five years and counting... Make it happen! 😊,"[CUSTOMER] Hey @SpotifyCares! When will u add a filter for explicit content? Many of your subscribers want this. Thanks! https://t.co/xYq7hVBgn4
[SPOTIFY] @578986 Hi Liselotte, we hear you! For more info, and to vote for the official idea, head here: https://t.co/CdI1SY9KZE. Stay awesome 😁 /TY
[CUSTOMER] @SpotifyCares Five years and counting... Make it happen! 😊","Hey Liselotte, we don’t have a specific timeline for the explicit‑content filter yet. You can keep an eye on the idea in our community hub and vote for it here: https://t.co/CdI1SY9KZE. Thanks for your patience!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@669689 Fingers crossed we'll have it available. Give us a shout if there's anything else we can help with /AP,32979,33465,574,,
110,@SpotifyCares Welp okay,"[CUSTOMER] @SpotifyCares On your app for Android do you allow the owner to access who follows a certain playlist?
[SPOTIFY] @822477 Hey there! This isn't currently possible, but to help make it happen, we'd suggest adding your support for the idea at https://t.co/mD8yN52lZu /AR
[CUSTOMER] @SpotifyCares Welp okay","Got it! If you have any other questions or need further assistance, just let us know.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@255064 Hey! How can we help? We'd love to lend a hand /RC,6666,11209,20381,,
111,"@SpotifyCares Sure, 8.4.21.508 armV7","[CUSTOMER] @SpotifyCares - Popping noises while listening to Spotify, but only when screen is off and downloaded High Quality.  Galaxy S6 Android 7.0
[SPOTIFY] @159744 Hey, that doesn't sound right. Can you let us know the Spotify version you're using? We'll see what we can suggest /RH
[CUSTOMER] @SpotifyCares Sure, 8.4.21.508 armV7","Thanks for confirming the version. Could you let us know if the popping noise occurs only when the screen is off, and whether it happens on all songs or just certain ones? Also, does it happen when you’re connected to Wi‑Fi, mobile data, or both? Let us know so we can troubleshoot further.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@270406 Thanks for that. Is this crash happening while connected to WiFi, 3G/4G or both? Keep us posted /JI",7437,2726,2523,,
118,"@SpotifyCares No, there's nothing else I want. I just want to use Spotify here.","[CUSTOMER] @115888 Hey Spotifyyyyyy! When are you releasing in Indiaaaa? Waiting since so looooong!
[SPOTIFY] @272838 Hi Vikramajit! We're afraid we don't have any news on this yet, but we're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /AU
[CUSTOMER] @SpotifyCares So mean!
[SPOTIFY] @272838 Sorry to hear that. Don't worry, we'll make sure to pass your thoughts on to the right team. If there's anything else, just let give us a shout /AU
[CUSTOMER] @SpotifyCares No, there's nothing else I want. I just want to use Spotify here.","I hear you—wanting to use Spotify in India. At the moment the service isn’t available in that country. If you already have a Spotify account, let me know your email address and I can check if there’s a workaround or keep you updated on any future launch plans.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@426501 Can you DM us your account's email address? We'll take a look backstage /RA https://t.co/ldFdZRiNAt,16439,20405,4270,,
126,@SpotifyCares 8.4.22.857? I think.,"[CUSTOMER] @115888 why can't I share music with my friend?? I have Android 8.0 and it won't allow me to share music as usual
[CUSTOMER] @115888 this has been happening for several days. Assume there was high demand for Tom petty music but alas it's still happening.
[CUSTOMER] @115888 @SpotifyCares
[SPOTIFY] @214355 Hey Miranda! Sorry to hear that. Can you let us know what Spotify version you're using? We'll check backstage /RK
[CUSTOMER] @SpotifyCares 8.4.22.857? I think.",Hey! Could you let me know which Spotify version you’re running on your Android 8.0 device? That’ll help us figure out why sharing isn’t working and get it back to normal. Thanks!,Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@300815 Thanks for the info. Can you tell us approximately how many songs you currently have downloaded? /PB,9098,13203,11117,,
137,@SpotifyCares Thank you,"[CUSTOMER] @SpotifyCares my Premium account has changed to free even though my payments have gone through. I have lost all my playlists.
[SPOTIFY] @557917 Hey Bianca, help's here! Could you DM us your account's username and email address? We'll take a look under the hood 🔍 /DQ https://t.co/ldFdZRiNAt
[CUSTOMER] @SpotifyCares Thank you","You're welcome! If you need anything else, just let us know.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@315101 You're welcome! In the meantime, let us know if you need anything else. We'd be happy to help /PB",9776,34706,25253,,
138,@SpotifyCares Here’s 680K Google results https://t.co/RSQirIhfI9 on “spotify explicit”. Enough of “we’ll be sure to pass it on”. Take action. Seriously.,"[CUSTOMER] Hey @115888 it’s long overdue for explicit filtering. At the point of removing all Spotify alarms on @118117. 9k requests on your own forum
[SPOTIFY] @285072 Hi Steve. We're sorry you feel that way. We appreciate your feedback, and we'll be sure to pass it on to the right team /LM
[CUSTOMER] @SpotifyCares Here’s 680K Google results https://t.co/RSQirIhfI9 on “spotify explicit”. Enough of “we’ll be sure to pass it on”. Take action. Seriously.","Hi! I hear your frustration about explicit filtering. I’ve forwarded your feedback to the team that handles content settings, and they’re looking into ways to improve the experience. In the meantime, you can use the explicit filter toggle in your account settings to control what’s played. If you notice any changes or have more suggestions, just let us know!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@447708 Woohoo, glad that you found it! If you have any other questions, just let us know 🙂 /CG",17294,34023,30688,,
139,@SpotifyCares I can't update them until I have the new card sent as I don't yet know the number etc,"[CUSTOMER] @SpotifyCares ... I have my new card? Thanks!
[SPOTIFY] @613839 Hi Alice, that's good to know! If you haven't done so, you can update your payment details at https://t.co/Q1zNbUXR4q. Hope this helps /RE
[CUSTOMER] @SpotifyCares I can't update them until I have the new card sent as I don't yet know the number etc","Hi! Once you have your new card details handy, you can update your payment method in your account settings. If you run into any issues or need help locating the payment section, just let me know and I’ll guide you through it.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@435093 We understand. It's not ideal, but the exact steps here should help out: https://t.co/EqisDMwZAT. Keep us posted /JE",16759,26708,38200,,
154,@SpotifyCares Shouldn’t there be an indicator here at the top saying how many downloads still need to happen? https://t.co/SqWtKPjjXi,"[CUSTOMER] @SpotifyCares how to troubleshoot why offline music won’t download. Left it for hours... https://t.co/BoyXCKUewc
[SPOTIFY] @241769 Hi Nathan! Check out the things under “Music not downloading” at https://t.co/EidIESdRDv. They should help with this. Let us know if there's anything else /AP
[CUSTOMER] @SpotifyCares Thanks. None of those seem to apply. I don’t get an error about &gt;3333 downloads
[SPOTIFY] @241769 We understand. Have you already downloaded music on 3 other devices? You can check how many offline devices you have here: https://t.co/8WYo44DHWG. Hope this helps /AP
[CUSTOMER] @SpotifyCares Shouldn’t there be an indicator here at the top saying how many downloads still need to happen? https://t.co/SqWtKPjjXi","Hi! The download progress indicator is only shown when you’re actively downloading a playlist or album. If you’re seeing a paused or stalled download, try pausing and resuming it or restarting the app. Let us know if you still don’t see the progress bar and we’ll look into it further.",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@199032 Hey! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q,3841,18506,12298,,
157,@SpotifyCares https://t.co/tjHvHEL2vz aaaw men TFF is my favorite. Here's one for squashing every bug in the future 🎶🖤⚡👽,"[CUSTOMER] @115888 @SpotifyCares https://t.co/Kgzo5QNJJ9 problem fixed. thank you so much for addressing it 🤘⚔️⚡🎶👽👹😉
[SPOTIFY] @385696 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF 😉 /NY
[CUSTOMER] @SpotifyCares https://t.co/tjHvHEL2vz aaaw men TFF is my favorite. Here's one for squashing every bug in the future 🎶🖤⚡👽","Thanks for the shout‑out! We’re thrilled the issue is resolved and appreciate your support. If you run into anything else, just let us know!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,@334796 Thanks! Could you DM us your account's username and email address? We'll take a look backstage /JL https://t.co/ldFdZRiNAt,11174,10490,9443,,
165,"@SpotifyCares An iPod Touch 6th gen, running iOS 11.1.1","[CUSTOMER] @SpotifyCares how Can I determine how many songs I’ve saved in my library over the years, I wanna know my total record 😂
[SPOTIFY] @316439 Hey Chris! We're here to help. Could you let us know what device you're using? We'll see what we can suggest /JT
[CUSTOMER] @SpotifyCares An iPod Touch 6th gen, running iOS 11.1.1","Hey! To see how many songs you’ve saved in your library, open the Spotify app, tap “Your Library,” then tap the “Saved” tab. At the top of the list you’ll see a count of all your saved tracks. If you’re using an older iPod Touch, the count may not display automatically—try updating the app if possible. Let me know if that helps!",Thanks for contacting Spotify. Please provide more details about the issue so we can help.,"@665221 It's not possible to add songs using the iPod Touch. We'd suggest using a desktop computer, laptop, tablet, or a mobile phone instead /LO",32420,20185,8118,,
